序號,英文名稱,中文名稱,中國大陸譯名,來源網站
285,extravasated blood,淤血,淤血,https://terms.naer.edu.tw/
286,exudation,滲出[作用]；泌出；鹽剝[作用]；泌水作用,渗出,https://terms.naer.edu.tw/
287,eyeball,眼球,眼球,https://terms.naer.edu.tw/
288,eyeground,眼底,眼底,https://terms.naer.edu.tw/
289,eyelid,眼瞼；眼皮；眼簾,眼睑,https://terms.naer.edu.tw/
290,facial muscles,面部肌,面肌,https://terms.naer.edu.tw/
291,facial nerve,顏面神經,面神经,https://terms.naer.edu.tw/
292,fainting,昏厥；暈厥；昏倒,昏厥,https://terms.naer.edu.tw/
293,fat-soluble vitamin,脂溶性維生素,脂溶性维生素,https://terms.naer.edu.tw/
294,fatigue,疲勞,疲劳,https://terms.naer.edu.tw/
295,fatty acid,脂肪酸；脂[肪]酸,脂肪酸,https://terms.naer.edu.tw/
296,fatty liver,脂肪肝；肝細胞脂肪浸潤； 脂性肝,脂肪肝,https://terms.naer.edu.tw/
297,Female breast,女性乳房,女乳房,https://terms.naer.edu.tw/
298,female external genital organs,女性外生殖器官,女性外生殖器,https://terms.naer.edu.tw/
299,female genital organ,女性生殖器官,女性生殖器,https://terms.naer.edu.tw/
300,femoral artery,股動脈,股动脉,https://terms.naer.edu.tw/
301,femoral nerve,股神經,股神经,https://terms.naer.edu.tw/
302,femur,股骨,股骨,https://terms.naer.edu.tw/
303,fertilization,受精(作用)；孕育；受孕；授精；滋生；施肥；受精,受精,https://terms.naer.edu.tw/
304,fetus,胎兒,胎儿,https://terms.naer.edu.tw/
305,fever,[發]熱；熱病；發燒；體溫上升,发热,https://terms.naer.edu.tw/
306,fiber bundle,光纖束；纖維束 (數學),纤维束,https://terms.naer.edu.tw/
307,fibula,腓骨,腓骨,https://terms.naer.edu.tw/
308,filariasis,絲蟲病,丝虫病,https://terms.naer.edu.tw/
309,fingerprint,指紋,指纹,https://terms.naer.edu.tw/
310,first aid,急救,急救,https://terms.naer.edu.tw/
311,fish liver oil,魚肝油,鱼肝油,https://terms.naer.edu.tw/
312,focus,焦點；震源；聚焦；調燈；病灶；聚焦；定焦點；集中；焦點(單數),病灶,https://terms.naer.edu.tw/
313,folic acid,葉酸　,叶酸,https://terms.naer.edu.tw/
314,food additives,食品添加劑,食品添加剂,https://terms.naer.edu.tw/
315,food contamination,食物污染,食品污染,https://terms.naer.edu.tw/
316,food poisoning,食物中毒,食物中毒,https://terms.naer.edu.tw/
317,formaldehyde,蟻酸；甲醛；蟻醛,甲醛,https://terms.naer.edu.tw/
318,fourth ventricle,第四腦室,第四脑室,https://terms.naer.edu.tw/
319,frontal bone,額骨,额骨,https://terms.naer.edu.tw/
320,fructose,Object,果糖,https://terms.naer.edu.tw/
321,fruit wine,水果酒,果酒,https://terms.naer.edu.tw/
322,Galen,加倫,盖仑,https://terms.naer.edu.tw/
323,gall bladder,膽囊,胆囊,https://terms.naer.edu.tw/
324,ganglia of sympathetic trunk,鍊結,交感干神经节,https://terms.naer.edu.tw/
325,gastric juice,胃液,胃液,https://terms.naer.edu.tw/
326,gastric ulcer,胃潰瘍,胃溃疡,https://terms.naer.edu.tw/
327,gastritis,胃炎,胃炎,https://terms.naer.edu.tw/
328,gentian violet,龍膽紫,紫药水,https://terms.naer.edu.tw/
329,glandular epithelium,腺上皮；腺性皮膜；腺體上皮；腺性上皮組織,腺上皮,https://terms.naer.edu.tw/
330,glaucoma,青光眼；綠內障,青光眼,https://terms.naer.edu.tw/
331,glenohumeral joint,肩盂肱骨關節,肩关节,https://terms.naer.edu.tw/
332,glossopharyngeal nerve,舌咽神經,舌咽神经,https://terms.naer.edu.tw/
333,glucose,葡萄糖,葡萄糖,https://terms.naer.edu.tw/
334,gluside,糖精,糖精,https://terms.naer.edu.tw/
335,gluteus maximus,臀大肌,臀大肌,https://terms.naer.edu.tw/
336,glycogen,肝糖,糖原,https://terms.naer.edu.tw/
337,goiter,甲狀腺腫,甲状腺肿,https://terms.naer.edu.tw/
338,gonadal hormone,性(腺)激素；生殖腺激素,性激素,https://terms.naer.edu.tw/
339,gourmet powder,味精,味精,https://terms.naer.edu.tw/
340,gout,痛風,痛风,https://terms.naer.edu.tw/
341,gray matter,灰質層；灰質,灰质,https://terms.naer.edu.tw/
342,great saphenous vein,大隱靜脈,大隐静脉,https://terms.naer.edu.tw/
343,growth and development,成長發育,生长发育,https://terms.naer.edu.tw/
344,Habitfroming Drug,麻醉藥品,麻醉药品,https://terms.naer.edu.tw/
345,half-life,半衰期；半生期；半壽期；半排出期,半衰期,https://terms.naer.edu.tw/
346,hallucination,幻覺,幻觉,https://terms.naer.edu.tw/
347,hanging,絞死,绞死,https://terms.naer.edu.tw/
348,Harvey,哈威,哈维,https://terms.naer.edu.tw/
349,heal,治愈,痊愈,https://terms.naer.edu.tw/
350,healing,癒合；恢復；愈合；痊癒；療法,愈合,https://terms.naer.edu.tw/
351,health,健康；保健,健康,https://terms.naer.edu.tw/
352,health care,健康照護,保健,https://terms.naer.edu.tw/
353,heart,心；心臟,心,https://terms.naer.edu.tw/
354,heart failure,心臟衰竭；心臟衰弱,心力衰竭,https://terms.naer.edu.tw/
355,heart rate,心跳率；心率；心跳速率,心率,https://terms.naer.edu.tw/
356,heart sound,心音,心音,https://terms.naer.edu.tw/
357,heat cramp,中暑痙攣；熱痙攣,热痉挛,https://terms.naer.edu.tw/
358,heat stroke,熱射病；中暑,中暑,https://terms.naer.edu.tw/
359,hemangioma,血管瘤,血管瘤,https://terms.naer.edu.tw/
360,hemiplegia,半身麻痺；半身不遂；偏癱,偏瘫,https://terms.naer.edu.tw/
361,Hemolysis,溶血[作用]；溶血現象；溶血[作用],溶血,https://terms.naer.edu.tw/
362,hemophilia,血友病,血友病,https://terms.naer.edu.tw/
363,hemoptysis,咳血；咯血,咯血,https://terms.naer.edu.tw/
364,hemorrhage,出血,出血,https://terms.naer.edu.tw/
365,hemothorax,血胸；胸腔積血,血胸,https://terms.naer.edu.tw/
366,hepatitis,肝炎,肝炎,https://terms.naer.edu.tw/
367,high density lipoprotein,高密度脂蛋白,高密度脂蛋白,https://terms.naer.edu.tw/
368,hip joint,髀關節；臀關節；髖關節,髋关节,https://terms.naer.edu.tw/
369,homosexuality,同性戀；同性愛；同性性慾；同性戀愛,同性恋,https://terms.naer.edu.tw/
370,hordeolum,麥粒腫,麦粒肿,https://terms.naer.edu.tw/
371,hormone,激素；賀爾蒙,激素,https://terms.naer.edu.tw/
372,hospital,醫院,医院,https://terms.naer.edu.tw/
373,humerus,肱骨,肱骨,https://terms.naer.edu.tw/
374,hunchback,駝背,驼背,https://terms.naer.edu.tw/
375,hyoid bone,舌骨,舌骨,https://terms.naer.edu.tw/
376,hyperaemia,充血,充血,https://terms.naer.edu.tw/
377,hypergravitation,超重(overweight；excess weight ),超重,https://terms.naer.edu.tw/
378,hypermetropia,遠視,远视,https://terms.naer.edu.tw/
379,hyperplasia,增生,增生,https://terms.naer.edu.tw/
380,hypertension,高血壓,高血压,https://terms.naer.edu.tw/
381,hypnagogue,安眠藥,安眠药,https://terms.naer.edu.tw/
382,hypoglossal nerve,舌下神經,舌下神经,https://terms.naer.edu.tw/
383,hypophysis,腦下垂體；腦下腺；腦垂體；垂體；腦垂腺,垂体,https://terms.naer.edu.tw/
384,hypothalamus,下視丘,下丘脑,https://terms.naer.edu.tw/
385,hypoxia,缺氧,缺氧,https://terms.naer.edu.tw/
386,idiocy,白癡,白痴,https://terms.naer.edu.tw/
387,iliac crest,髂(骨)崤；骼(骨)[山脊],髂嵴,https://terms.naer.edu.tw/
388,iliopsoas,髂腰肌(Iliopsoas muscle ),髂腰肌,https://terms.naer.edu.tw/
389,ilium,腸骨,髂骨,https://terms.naer.edu.tw/
390,illusion,錯覺,错觉,https://terms.naer.edu.tw/
391,incidence of a disease,疾病發生率；疾病發病率,发病率,https://terms.naer.edu.tw/
392,incisor teeth,門齒；切齒,切牙,https://terms.naer.edu.tw/
393,incubation period,保溫期；潛伏期；孕核期；培養期,潜伏期,https://terms.naer.edu.tw/
394,induced abortion,人工流產,人工流产,https://terms.naer.edu.tw/
395,induced labo(u)r,催生；引產,引产,https://terms.naer.edu.tw/
396,induction,感應[現象]；誘發；誘導； ｛電磁｝感應；說理誘導法； 歸納[法]；感應密度；引入； 入門；進氣；刺激感應,诱导,https://terms.naer.edu.tw/
397,infant,嬰兒,婴儿,https://terms.naer.edu.tw/
398,infant mortality,早期失效；嬰兒死亡率,婴儿死亡率,https://terms.naer.edu.tw/
399,infantile paralysis,幼兒麻痺；急性脊髓前灰質炎；脊髓灰質炎；小兒麻痺症,小儿麻痹症,https://terms.naer.edu.tw/
400,infarct,梗塞；血梗,梗死,https://terms.naer.edu.tw/
401,infection,感染,传染,https://terms.naer.edu.tw/
402,infection rate,感染率,感染率,https://terms.naer.edu.tw/
403,infectious diseases,感染性疾病；傳染性疾病,传染病,https://terms.naer.edu.tw/
404,inferior nasal concha,下鼻甲,下鼻甲,https://terms.naer.edu.tw/
405,inferior vena cava,下腔靜脈；後腔靜脈；下大靜脈,下腔静脉,https://terms.naer.edu.tw/
406,infertility,不孕,不孕,https://terms.naer.edu.tw/
407,infiltration,浸潤,浸润,https://terms.naer.edu.tw/
408,inflammation,炎症,炎症,https://terms.naer.edu.tw/
409,influenza,流行性感冒,流行性感冒,https://terms.naer.edu.tw/
410,inguinal canal,鼠蹊韌帶；鼠蹊管,腹股沟管,https://terms.naer.edu.tw/
411,inhibition,抑制[作用]；制止作用；禁止；滅火；阻害；阻害作用,抑制,https://terms.naer.edu.tw/
412,insomnia,失眠症；失眠,失眠,https://terms.naer.edu.tw/
413,instinct,本能；本性,本能,https://terms.naer.edu.tw/
414,insulin,胰島素；因素林,胰岛素,https://terms.naer.edu.tw/
415,intercostales externi,肋間外肌(Mm. intercostales externi),肋间外肌,https://terms.naer.edu.tw/
416,intercostales interni,肋間內肌(Mm. intercostales interni ),肋间内肌,https://terms.naer.edu.tw/
417,internal ear,內耳,内耳,https://terms.naer.edu.tw/
418,internal jugular vein,頸內靜脈,颈内静脉,https://terms.naer.edu.tw/
419,interspinal ligaments,棘間韌帶 (Interspinous ligament ),棘间韧带,https://terms.naer.edu.tw/
420,intervertebral discs,椎間盤 (intervertebral disc),椎间盘,https://terms.naer.edu.tw/
421,intoxication,中毒；酒醉,中毒,https://terms.naer.edu.tw/
422,iodine tincture,碘酒,碘酒,https://terms.naer.edu.tw/
